Species                                     mean   stdev      # of genomes
Pseudomonas_fluorescens                    138.6   134.1      20
Pseudomonas_mendocina                      30.33   32.76       6
Pseudomonas_monteilii                       58.2   91.04       5
Pseudomonas_orientalis                      16.0   8.573       5
Pseudomonas_protegens                      28.57   12.34       7
Pseudomonas_putida                         194.1   92.28      32
Pseudomonas_stutzeri                       154.4   73.53      18
Pseudomonas_synxantha                      3.714   4.071       7
Pseudomonas_syringae                       87.62   125.1      29
Rahnella_aquatilis                         6.833   4.535       6
Ralstonia_solanacearum                     72.47   62.41      45
Raoultella_ornithinolytica                 11.75    26.0       8
Rhizobium_etli                             52.83   77.09       6
Rhizobium_leguminosarum                    55.92   33.49      12
Rhizobium_phaseoli                          28.5   16.24      14
Rhodobacter_sphaeroides                    42.67   62.64       9
Rhodococcus_ruber                            5.8    4.97       5
Rhodopseudomonas_palustris                 102.8   128.1      10
Rickettsia_japonica                          5.5   5.196      12
Rickettsia_prowazekii                        8.0   11.52      10
Rickettsia_rickettsii                      5.818   13.71      11
Riemerella_anatipestifer                   34.62   42.79      13
Saccharolobus_solfataricus                 48.58   27.53      12
Salinibacter_ruber                          1.25   0.707       8
Salmonella_enterica                        19.89   27.69     751
Serratia_fonticola                          32.0   35.84       5
Serratia_marcescens                         23.2   53.24      46
Serratia_plymuthica                        16.33   7.194       9
Serratia_rubidaea                            4.2   3.834       5
Shewanella_baltica                         16.33   9.124       9
Shewanella_putrefaciens                     36.6   40.92       5
Sinorhizobium_fredii                        44.8    42.9       5
Sinorhizobium_meliloti                     45.82   32.22      22
Sorangium_cellulosum                       218.2   182.9       5
Staphylococcus_argenteus                     1.4   0.894       5
Staphylococcus_aureus                      7.931   13.84     449
Staphylococcus_epidermidis                 22.42   57.65      19
Staphylococcus_haemolyticus                3.333   2.062       9
Staphylococcus_lugdunensis                  12.3   8.629      10
Staphylococcus_pseudintermedius            6.143   4.298       7
Staphylococcus_saprophyticus               2.667   1.581       9
Staphylococcus_schleiferi                    1.5   1.225       6
Staphylococcus_simulans                    5.714   2.215       7
Staphylococcus_warneri                       2.8   2.049       5
Staphylococcus_xylosus                       2.6   2.608       5
Stenotrophomonas_maltophilia               20.96   35.84      24
Streptococcus_agalactiae                   12.49   15.85      96
Streptococcus_anginosus                    7.571   3.552       7
Streptococcus_dysgalactiae                  18.0   29.11      19
Streptococcus_equi                         15.23   17.11      13
Streptococcus_gallolyticus                 13.43   5.769       7
Streptococcus_gordonii                      12.6   9.969      10
Streptococcus_iniae                        12.43   6.373       7
Streptococcus_intermedius                    3.5   1.643       6
Streptococcus_mitis                         23.8   13.33       5
Streptococcus_mutans                       29.82   68.08      11
Streptococcus_oralis                       11.67   5.354       6
Streptococcus_pneumoniae                   18.43   10.21      75
Streptococcus_porcinus                      14.8   7.727       5
Streptococcus_pyogenes                     8.568   7.638     199
Streptococcus_salivarius                   13.36   6.742      11
Streptococcus_sanguinis                      3.2    2.95       5
Streptococcus_sobrinus                     10.83   4.916       6
Streptococcus_suis                         28.87   23.24      45
Streptococcus_thermophilus                 9.741   10.46      27
Streptomyces_venezuelae                    139.7   91.77      11
Sulfolobus_acidocaldarius                    2.0   1.581       9
Sulfolobus_islandicus                      29.89   15.66       9
Taylorella_equigenitalis                    1.75   1.035       8
Thermotoga_maritima                        1.333   0.816       6
Thermus_thermophilus                       7.333   2.872       9
Trueperella_pyogenes                        13.8   19.79      10
Ureaplasma_parvum                            1.8    2.53      10
Vibrio_alginolyticus                       55.44   146.2      16
Vibrio_anguillarum                          20.6   18.07      15
Vibrio_campbellii                           31.6   35.39      10
Vibrio_cholerae                            16.12   20.55      50
Vibrio_coralliilyticus                      11.8   5.718       5
Vibrio_natriegens                            6.6    3.13       5
Vibrio_parahaemolyticus                    27.12   34.25      33
Vibrio_vulnificus                          15.44    10.5      18
Weissella_cibaria                          4.444   1.944       9
Wolbachia_pipientis                        103.5   109.0       6
Xanthomonas_campestris                     25.47   18.73      17
Xanthomonas_citri                          40.49   31.43      67
Xanthomonas_fragariae                       19.0   20.07       5
Xanthomonas_oryzae                         89.64   53.78      90
Xanthomonas_phaseoli                       16.86   11.74       7
Xanthomonas_translucens                     18.8   14.39       5
Xylella_fastidiosa                         43.75   19.26      16
Yersinia_enterocolitica                     34.0   29.18      20
Yersinia_pestis                            61.92   37.57      37
Yersinia_pseudotuberculosis                 25.0   15.29      26
Yersinia_ruckeri                             6.6   3.647       5
Zymomonas_mobilis                          19.73   61.02      15
[Haemophilus]_ducreyi                      17.36   7.712      14

