SP	nb	taxo
Fusobacterium_necrophorum	5	Fusobacteriia
Brevibacillus_brevis	5	Firmicutes
Pantoea_agglomerans	5	Gammaproteobacteria
Yersinia_ruckeri	5	Gammaproteobacteria
Klebsiella_quasipneumoniae	16	Gammaproteobacteria
Granulibacter_bethesdensis	10	Alphaproteobacteria
Blattabacterium_punctulatus	10	Bacteroidetes/Chlorobi_group
Clostridium_saccharobutylicum	5	Firmicutes
Yersinia_pestis	37	Gammaproteobacteria
Vibrio_vulnificus	18	Gammaproteobacteria
Streptococcus_intermedius	6	Firmicutes
Streptococcus_iniae	7	Firmicutes
Histophilus_somni	21	Gammaproteobacteria
Streptococcus_salivarius	11	Firmicutes
Lactobacillus_johnsonii	10	Firmicutes
Paenibacillus_polymyxa	13	Firmicutes
Mycoplasma_californicum	8	Tenericutes
Bacteroides_fragilis	15	Bacteroidetes/Chlorobi_group
Leptospira_borgpetersenii	6	Spirochaetia
Francisella_philomiragia	7	Gammaproteobacteria
Alteromonas_mediterranea	15	Gammaproteobacteria
Acinetobacter_pittii	14	Gammaproteobacteria
Bacillus_anthracis	54	Firmicutes
Citrobacter_freundii	31	Gammaproteobacteria
Escherichia_fergusonii	5	Gammaproteobacteria
Staphylococcus_schleiferi	6	Firmicutes
Rickettsia_rickettsii	11	Alphaproteobacteria
Gardnerella_vaginalis	7	Actinobacteria
Aeromonas_hydrophila	22	Gammaproteobacteria
Vibrio_natriegens	5	Gammaproteobacteria
Streptococcus_dysgalactiae	19	Firmicutes
Bifidobacterium_bifidum	9	Actinobacteria
Mycoplasma_bovis	12	Tenericutes
Campylobacter_jejuni	166	delta/epsilon_subdivisions
Lactobacillus_plantarum	99	Firmicutes
Phaeobacter_inhibens	22	Alphaproteobacteria
Helicobacter_cinaedi	6	delta/epsilon_subdivisions
Thermus_thermophilus	9	Deinococcus-Thermus
Bradyrhizobium_diazoefficiens	6	Alphaproteobacteria
Pseudomonas_brassicacearum	5	Gammaproteobacteria
Streptococcus_gallolyticus	7	Firmicutes
Chlamydia_trachomatis	86	Chlamydiae
Bartonella_henselae	5	Alphaproteobacteria
Pseudomonas_aeruginosa	200	Gammaproteobacteria
Alcaligenes_faecalis	7	Betaproteobacteria
Thermotoga_maritima	6	Thermotogae
Acidipropionibacterium_acidipropionici	7	Actinobacteria
Streptococcus_suis	45	Firmicutes
Mycobacterium_intracellulare	8	Actinobacteria
Chlamydia_psittaci	21	Chlamydiae
Burkholderia_multivorans	11	Betaproteobacteria
Mycoplasma_mycoides	33	Tenericutes
Bacillus_thuringiensis	48	Firmicutes
Mycobacterium_avium	26	Actinobacteria
Phaeobacter_piscinae	7	Alphaproteobacteria
Burkholderia_cepacia	11	Betaproteobacteria
Burkholderia_thailandensis	21	Betaproteobacteria
Bacillus_safensis	6	Firmicutes
Borreliella_garinii	5	Spirochaetia
Vibrio_coralliilyticus	5	Gammaproteobacteria
Bacillus_paralicheniformis	8	Firmicutes
Actinobacillus_pleuropneumoniae	9	Gammaproteobacteria
Myxococcus_xanthus	7	delta/epsilon_subdivisions
Streptococcus_anginosus	7	Firmicutes
Serratia_rubidaea	5	Gammaproteobacteria
Micrococcus_luteus	6	Actinobacteria
Burkholderia_ubonensis	6	Betaproteobacteria
Metallosphaera_sedula	6	Crenarchaeota
Francisella_tularensis	37	Gammaproteobacteria
Xanthomonas_fragariae	5	Gammaproteobacteria
Agrobacterium_tumefaciens	16	Alphaproteobacteria
Rahnella_aquatilis	6	Gammaproteobacteria
Mycoplasma_gallisepticum	15	Tenericutes
Lactobacillus_delbrueckii	22	Firmicutes
Rhodobacter_sphaeroides	9	Alphaproteobacteria
Klebsiella_michiganensis	11	Gammaproteobacteria
Brucella_melitensis	63	Alphaproteobacteria
Saccharolobus_solfataricus	12	Crenarchaeota
Pseudomonas_orientalis	5	Gammaproteobacteria
Achromobacter_xylosoxidans	9	Betaproteobacteria
Pseudomonas_syringae	29	Gammaproteobacteria
Yersinia_pseudotuberculosis	26	Gammaproteobacteria
Mycolicibacterium_smegmatis	7	Actinobacteria
Burkholderia_vietnamiensis	7	Betaproteobacteria
Staphylococcus_aureus	449	Firmicutes
Moraxella_bovoculi	7	Gammaproteobacteria
Xanthomonas_translucens	5	Gammaproteobacteria
Streptococcus_sobrinus	6	Firmicutes
Pediococcus_pentosaceus	9	Firmicutes
Prevotella_intermedia	14	Bacteroidetes/Chlorobi_group
Arcobacter_butzleri	6	delta/epsilon_subdivisions
Aeromonas_caviae	8	Gammaproteobacteria
Corynebacterium_glutamicum	28	Actinobacteria
Lactobacillus_reuteri	15	Firmicutes
Serratia_fonticola	5	Gammaproteobacteria
Prochlorococcus_marinus	11	Cyanobacteria/Melainabacteria_group
Raoultella_ornithinolytica	8	Gammaproteobacteria
Bordetella_genomosp	5	Betaproteobacteria
Chlamydia_pneumoniae	11	Chlamydiae
Cronobacter_sakazakii	7	Gammaproteobacteria
Polynucleobacter_necessarius	8	Betaproteobacteria
Chlamydia_abortus	9	Chlamydiae
Mycoplasma_pneumoniae	49	Tenericutes
Streptococcus_agalactiae	96	Firmicutes
Sulfolobus_islandicus	9	Crenarchaeota
Staphylococcus_haemolyticus	9	Firmicutes
Mycoplasma_hyorhinis	8	Tenericutes
Rhizobium_leguminosarum	12	Alphaproteobacteria
Caulobacter_vibrioides	6	Alphaproteobacteria
Morganella_morganii	12	Gammaproteobacteria
Piscirickettsia_salmonis	20	Gammaproteobacteria
Zymomonas_mobilis	15	Alphaproteobacteria
Leptospira_interrogans	13	Spirochaetia
Haemophilus_influenzae	66	Gammaproteobacteria
Shewanella_baltica	9	Gammaproteobacteria
Lactobacillus_fermentum	17	Firmicutes
Aggregatibacter_aphrophilus	5	Gammaproteobacteria
Escherichia_coli	902	Gammaproteobacteria
Mycobacterium_tuberculosis	178	Actinobacteria
Enterobacter_roggenkampii	7	Gammaproteobacteria
Moraxella_osloensis	7	Gammaproteobacteria
Bordetella_bronchiseptica	21	Betaproteobacteria
Mycoplasma_genitalium	5	Tenericutes
Alteromonas_macleodii	7	Gammaproteobacteria
Listeria_monocytogenes	183	Firmicutes
Aeromonas_salmonicida	10	Gammaproteobacteria
Stenotrophomonas_maltophilia	24	Gammaproteobacteria
Neisseria_gonorrhoeae	49	Betaproteobacteria
Streptococcus_equi	13	Firmicutes
Dehalococcoides_mccartyi	24	Chloroflexi
Staphylococcus_pseudintermedius	7	Firmicutes
Ehrlichia_chaffeensis	8	Alphaproteobacteria
Streptomyces_venezuelae	11	Actinobacteria
Bacillus_licheniformis	29	Firmicutes
Salinibacter_ruber	8	Bacteroidetes/Chlorobi_group
Bacillus_pumilus	10	Firmicutes
Taylorella_equigenitalis	8	Betaproteobacteria
Vibrio_campbellii	10	Gammaproteobacteria
Corynebacterium_ulcerans	15	Actinobacteria
Xanthomonas_phaseoli	7	Gammaproteobacteria
Lactobacillus_casei	6	Firmicutes
Chlamydia_suis	5	Chlamydiae
Lysinibacillus_sphaericus	7	Firmicutes
Sinorhizobium_meliloti	22	Alphaproteobacteria
Campylobacter_fetus	13	delta/epsilon_subdivisions
Cutibacterium_acnes	21	Actinobacteria
Lactobacillus_paracasei	27	Firmicutes
Bacillus_altitudinis	11	Firmicutes
