species                                  singles   blocs     bs  len/bloc          n
Streptococcus_pneumoniae                  0.6933   10.35  0.9911   112.9          75
Streptococcus_porcinus                       1.6    14.8  0.9894   92.64           5
Streptococcus_pyogenes                    0.3417   4.216  0.9959   238.5         199
Streptococcus_salivarius                  0.3636   6.455  0.9958   230.1          11
Streptococcus_sanguinis                      0.4     3.2  0.9984   538.4           5
Streptococcus_sobrinus                       2.5   10.83  0.9938   157.8           6
Streptococcus_suis                        0.6889   15.04  0.9849   66.56          45
Streptococcus_thermophilus                0.1111   1.481  0.9993   732.5          27
Streptomyces_venezuelae                    49.27   125.3  0.9399   16.71          11
Sulfolobus_acidocaldarius                 0.1111     2.0  0.9991   861.0           9
Sulfolobus_islandicus                      6.111   29.89  0.9844    63.8           9
Taylorella_equigenitalis                   0.375    1.75  0.9991   724.0           8
Thermotoga_maritima                       0.1667   1.333  0.9997 1.346e+03           6
Thermus_thermophilus                       1.333   6.778  0.9874   177.2           9
Trueperella_pyogenes                         0.5     8.7  0.9948   191.2          10
Ureaplasma_parvum                            0.0     1.0     1.0   115.9          10
Vibrio_alginolyticus                        10.5   25.94  0.9799   142.4          16
Vibrio_anguillarum                           0.8   10.47  0.9936   235.2          15
Vibrio_campbellii                            1.1     6.8  0.9978   501.0          10
Vibrio_cholerae                             0.62    4.86  0.9973   371.6          50
Vibrio_coralliilyticus                       2.4    10.4  0.9281   312.8           5
Vibrio_natriegens                            1.2     6.6   0.998   601.8           5
Vibrio_parahaemolyticus                   0.5152   7.939  0.9979   447.3          33
Vibrio_vulnificus                         0.6667   5.167  0.9985   672.4          18
Weissella_cibaria                          1.444   4.444  0.9972   346.7           9
Wolbachia_pipientis                        32.83   103.5  0.8536   6.821           6
Xanthomonas_campestris                     2.353   15.06  0.9945   180.4          17
Xanthomonas_citri                          1.507    21.4  0.9931   145.8          67
Xanthomonas_fragariae                        4.4    19.0  0.9941   154.2           5
Xanthomonas_oryzae                         12.07   78.19  0.9691   32.35          90
Xanthomonas_phaseoli                       3.714    16.0  0.9949   222.3           7
Xanthomonas_translucens                      4.8    18.8   0.994   165.2           5
Xylella_fastidiosa                         13.75    32.5  0.9763   42.22          16
Yersinia_enterocolitica                      0.9   18.55  0.9933   150.0          20
Yersinia_pestis                            5.838   43.62  0.9815   57.21          37
Yersinia_pseudotuberculosis                4.808   15.54  0.9948   192.0          26
Yersinia_ruckeri                             1.4     6.6  0.9977   425.2           5
Zymomonas_mobilis                            1.2   5.133  0.9959   268.0          15
[Haemophilus]_ducreyi                      6.857   14.93  0.9873   78.14          14

