origin_dist,gene_length,replichore
380104,2447,1
381021,584,0
381602,452,0
381737,1517,1
382055,725,0
382463,710,1
382801,779,0
383233,767,1
383686,1016,0
383841,605,1
384727,788,0
385398,1505,1
385648,443,0
385914,326,1
386251,335,0
386558,212,0
386789,830,1
386988,2228,0
387564,758,1
389144,1598,1
389213,878,0
390355,1502,0
390559,1226,1
391579,1016,1
391969,89,0
392034,1091,0
393135,668,0
393800,1643,0
394327,2705,1
395547,1337,0
397021,761,0
397332,2393,1
398107,2267,0
399426,2084,1
400573,908,0
400787,1316,1
401480,194,0
401723,575,1
401764,1355,0
402465,683,1
403222,1421,0
403273,770,1
404180,878,1
404380,227,1
404619,236,1
404782,629,0
405534,1646,0
406940,2321,1
407184,227,1
407258,1340,0
407418,227,1
409064,128,0
409169,719,0
409885,1631,0
409943,2321,1
410552,512,1
410654,185,1
411463,719,1
411697,230,0
411939,272,0
412298,215,0
412438,296,0
412762,173,0
412812,1352,1
413054,1517,0
413139,296,1
413515,317,1
414808,1457,0
415254,1622,1
415557,131,1
416324,2147,0
417356,1724,1
418297,878,1
418551,1334,0
418723,401,1
419402,668,1
420115,245,0
420251,1538,0
421602,2135,1
422076,218,0
422482,560,1
422588,575,0
423200,1697,0
424873,338,0
425199,2552,1
425327,1301,0
426098,779,1
426637,539,1
426746,1436,0
427061,440,1
427455,404,1
428519,476,0
428605,1238,1
428811,179,1
429011,1256,0
429527,521,1
430543,293,0
430672,1088,1
430880,1646,0
432050,1286,1
432664,353,0
432993,836,1
433048,230,0
433270,980,0
433688,677,1
434439,758,1
434499,869,0
435436,1004,1
435758,1028,0
436610,905,1
436828,566,0
436989,362,1
437446,125,0
437682,146,0
438010,317,0
438236,1163,1
438324,533,0
438946,1133,0
439462,1226,1
440142,359,0
440337,878,1
440512,395,0
440701,353,1
440918,734,0
441645,1808,0
442017,1304,1
443114,1085,1
443778,977,0
443997,731,1
444882,785,1
444974,1502,0
445709,830,1
445796,133,1
446627,3323,0
446781,1022,1
448190,1388,1
448601,167,1
449972,968,0
450229,1373,1
451037,1052,0
451054,806,1
451507,326,1
452184,545,0
453509,1139,0
454047,2543,1
454647,1547,0
455490,1181,1
456166,461,0
456333,572,1
456605,167,1
456646,1337,0
457197,602,1
457792,563,1
457993,1847,0
459098,1220,1
459833,950,0
460869,308,0
461253,1280,0
461267,2102,1
461938,632,1
462160,215,1
462619,1259,0
462644,404,1
463568,869,1
463840,218,1
463881,1004,0
464856,1022,1
464967,197,0
465268,1298,0
466769,1913,1
466771,425,0
466979,188,1
467235,2441,0
467451,554,1
469256,1805,1
469466,200,1
469857,731,0
470151,590,1
470418,218,1
470715,401,0
471135,698,0
471451,812,1
471884,659,0
472340,722,1
472561,398,0
472726,386,1
472969,638,0
473085,359,1
473380,287,1
473610,1163,0
473880,374,1
474447,470,1
474857,1625,0
476599,275,0
476658,2114,1
477023,329,0
477534,749,0
477913,1184,1
478155,140,1
478280,755,0
478290,194,1
478839,476,1
479143,1064,0
479303,467,1
479553,161,1
479993,311,1
480562,1397,0
480655,629,1
481271,605,1
481570,302,1
481975,305,0
482290,464,0
482409,821,1
482704,278,1
482768,650,0
483051,332,1
483428,854,0
483770,701,1
484193,410,1
484282,686,0
484384,191,1
484638,254,1
485097,275,0
485174,371,1
485499,314,1
485699,395,0
486053,539,1
486101,314,0
486373,305,1
486420,227,0
486689,449,0
486799,392,1
487250,971,0
487345,533,1
487708,353,1
488226,503,1
488274,1301,0
488409,179,1
488847,434,1
489618,476,0
490115,2081,0
490186,1331,1
490334,116,1
490837,356,1
491243,389,1
491897,620,1
492193,1541,0
492912,989,1
493336,383,1
493744,776,0
493811,368,1
494247,425,1
494521,218,1
494530,842,0
494928,410,1
495382,791,0
496383,638,0
496434,1376,1
497022,629,0
497745,1289,1
497870,620,0
498738,947,1
498799,1412,0
499262,509,1
500256,662,0
500516,1124,1
500961,473,1
501026,965,0
501532,542,1
502099,860,0
502109,572,1
502932,818,1
503048,380,0
503186,257,1
503557,1943,0
503932,770,1
505690,740,0
506420,557,0
507302,206,0
507570,1343,0
509236,638,0
509931,179,0
510080,1733,0
510435,758,1
511546,1103,1
511810,3779,0
512737,1181,1
513830,1025,1
514035,176,1
514351,284,1
514482,221,1
515592,341,0
516146,251,0
516391,350,0
516821,530,0
517661,956,0
517839,3104,1
518927,1502,0
519008,1157,1
519230,233,1
520070,662,1
520252,179,1
520440,1025,0
521220,884,1
521452,995,0
521602,296,1
522480,998,0
522593,965,1
523654,1373,0
523803,881,1
525178,551,0
525266,1451,1
525498,242,1
525823,1352,0
526956,1349,1
527358,386,0
527437,470,1
527598,188,1
527789,464,0
528412,2138,0
529389,974,1
530944,1655,0
531481,1940,1
531678,188,1
531808,182,1
532649,1421,0
532829,1043,1
533998,1103,1
534189,947,0
534486,488,1
535088,593,1
535515,2696,0
536547,1469,1
538256,455,0
538777,386,0
539236,461,0
539710,935,0
540415,3800,1
540649,134,0
540913,182,0
541064,395,0
541590,713,0
542016,1445,1
542374,593,0
543073,929,1
543112,452,0
543459,203,1
543687,974,0
544399,932,1
544677,353,0
545017,230,0
545348,1004,0
546372,1967,1
546514,416,0
546736,272,1
546976,503,0
547055,263,1
547672,1196,0
547890,470,1
548924,2855,0
549263,938,1
550393,1067,1
551779,443,0
551850,1367,1
552356,1511,0
552402,398,1
553723,1127,1
554134,1100,0
554370,428,1
554778,392,1
554917,221,1
555231,209,1
555234,1082,0
555811,638,1
556314,497,1
556435,1502,0
557724,1367,1
557834,110,1
558020,209,0
558712,1256,0
558895,791,1
559910,893,1
560013,2369,0
561509,1490,1
562246,689,1
562388,986,0
563118,875,1
563579,464,1
563721,272,0
563995,554,0
564546,752,0
564766,1127,1
566212,260,0
566368,1418,1
566475,542,0
567017,224,0
567238,323,0
567576,2333,0
570480,1265,0
570841,4460,1
570990,226,1
571124,236,1
571946,1469,0
572445,929,1
573412,413,0
573962,1685,0
574877,2336,1
575637,1157,0
575760,653,1
576485,728,1
576797,848,0
577114,632,1
577600,272,1
577656,4286,0
578451,854,1
578988,491,1
579393,287,1
580849,1433,1
581622,725,1
581939,1286,0
582186,557,1
582730,575,1
